Bank,Credit Card,Photo Direct Link,Points or Cashback?,"If Points, Type?",General Cashback,Restaurants,Groceries,Drug Store,Gas,Travel,Entertainment,Bill Payments,Store,Cashback,Notes
RBC,RBC Rewards Visa Preferred,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/gpr-plp_rewardspreferred_en_sm.png,Points,RBC,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,,,
RBC,RBC RateAdvantage Visa,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/vpr_rateadvantage_en_sm.png,Cashback,,0%,0%,0%,0%,0%,0%,0%,0%,,,
RBC,RBC U.S. Dollar Visa Gold,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/gus_usgold_en_sm.png,Cashback,,1%,1%,1%,1%,1%,1%,1%,1%,,,
RBC,WestJet RBC Mastercard,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/mc2_wj_westjet_en_sm.png,Points,WestJet,1%,1%,1%,1%,1%,1%,1%,1%,"WestJet Flights, WestJet Vacations",1.50%,
RBC,RBC British Airways Visa Infinite,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/bap_ba_britishairways_en_sm.png,Points,Avios,1%,1%,1%,1%,1%,1%,1%,1%,,,
RBC,RBC Cathay Pacific Visa Platinum,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/pca_cathaypacific_en_sm.png,Points,Asia Miles,1%,1%,1%,1%,1%,1%,1%,1%,Cathay Pacific Online,2%,
RBC,RBC Avion Visa Infinite Business,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/aib_businessinfiniteavion_en_sm.png,Points,RBC,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,1.43%,,,
RBC,RBC Avion Visa Business,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/cpx_businessplatinumavion_en_sm.png,Points,"RBC, Petro",1.14%,1.14%,1.14%,1.14%,1.14%,1.14%,1.14%,1.14%,,,
RBC,RBC Business Cash Back Mastercard,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/mc6_business_cashback_mc_en_sm.png,Cashback,,1%,1%,1%,1%,1%,1%,1%,1%,,,
RBC,RBC Visa Business,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/cxp_clx_gxp_uxp_visabusiness_en_sm.png,Cashback,,0%,0%,0%,0%,0%,0%,0%,0%,,,
